iter	Logloss
192	0.3692526012
193	0.3691133534
194	0.3691126607
195	0.3691038679
196	0.3691037742
197	0.3690960431
198	0.3690253384
199	0.3690099762
200	0.3689529376
201	0.3689113418
202	0.3688046244
203	0.3687891824
204	0.3686667683
205	0.3686567605
206	0.3686435418
207	0.3685645719
208	0.368549612
209	0.3685444159
210	0.368534549
211	0.3684827949
212	0.3683752781
213	0.3683419743
214	0.368315961
215	0.3683128395
216	0.3682886791
217	0.3681889455
218	0.3681488998
219	0.3680989123
220	0.3680564293
221	0.3680234341
222	0.3680194653
223	0.3679007329
224	0.3678467498
225	0.3677668529
226	0.3677381844
227	0.3676014932
228	0.3676014922
229	0.3675637467
230	0.3674393517
231	0.3674023003
232	0.3674012798
233	0.3673608518
234	0.3673221483
235	0.3672493255
236	0.3670941244
237	0.3670589733
238	0.3669374984
239	0.366909723
240	0.3668779885
241	0.3667830874
242	0.3667824979
243	0.3666762275
244	0.3665906977
245	0.3665906821
246	0.3665013986
247	0.3664920001
248	0.3663527548
249	0.3663501186
250	0.3663501114
251	0.3662619245
252	0.3661380592
253	0.3661222042
254	0.3660576246
255	0.3660454503
256	0.3660064197
257	0.3658926004
258	0.3658762548
259	0.3657797717
260	0.3657568711
261	0.3657547362
262	0.3656340633
263	0.3655755195
264	0.3655722382
265	0.3655666423
266	0.3655121541
267	0.3654434145
268	0.3654006156
269	0.3653293191
270	0.3652583756
271	0.3652175547
272	0.3651396224
273	0.3650809291
274	0.3650350859
275	0.3649647974
276	0.3649613071
277	0.364892755
278	0.3648175007
279	0.3647115567
280	0.3647103214
281	0.3647102616
282	0.3646373367
283	0.3646032314
284	0.3645815662
285	0.3645364281
286	0.3645206449
287	0.3644580136
288	0.3643918137
289	0.3643764712
290	0.3642509056
291	0.3642204898
292	0.3642017194
293	0.3640920122
294	0.3640237326
295	0.3638578393
296	0.3638462854
297	0.3638462119
298	0.3637869645
299	0.363758107
300	0.3636898008
301	0.3636654206
302	0.3634911111
303	0.3634184394
304	0.3633453041
305	0.3633452213
306	0.3633391984
307	0.3632897983
308	0.363250452
309	0.3631727183
310	0.3630780362
311	0.3630208089
312	0.3629151832
313	0.3628952275
314	0.362879693
315	0.3628655665
316	0.3628654914
317	0.3628280267
318	0.3628279562
319	0.3627538259
320	0.3626958475
321	0.3626192338
322	0.3626160861
323	0.3625856071
324	0.3625522599
325	0.3625405411
326	0.362530659
327	0.36243513
328	0.3623477424
329	0.3622252356
330	0.3621895326
331	0.3621650704
332	0.3621644059
333	0.3620631307
334	0.362042464
335	0.3619644876
336	0.3619261805
337	0.3618131209
338	0.3617092253
339	0.3616155717
340	0.3615986984
341	0.3615532068
342	0.3614969707
343	0.3614804658
344	0.3614477114
345	0.3614195079
346	0.3614187665
347	0.3614185667
348	0.361335056
349	0.3612720094
350	0.3611637836
351	0.3611349736
352	0.3610633111
353	0.3610185813
354	0.3609773519
355	0.3609270285
356	0.3608644292
357	0.3608474691
358	0.3607462326
359	0.3606755997
360	0.360618966
361	0.3605871549
362	0.3605192617
363	0.3604764464
364	0.3604750012
365	0.3603644525
366	0.3602805809
367	0.3602348383
368	0.3602110054
369	0.3601159318
370	0.3600967302
371	0.359988947
372	0.3599799647
373	0.3599289952
374	0.3597944241
375	0.359760447
376	0.3597218506
377	0.3596819125
378	0.3596481127
379	0.3596002517
380	0.3595681312
381	0.359516605
382	0.3594125388
383	0.3594005759
384	0.3593042678
385	0.3592706661
386	0.3592292402
387	0.3591262657
388	0.3590353147
389	0.3590044035
390	0.3588987127
391	0.3588241313
392	0.3587656475
393	0.3587452184
394	0.358705245
395	0.3586163939
396	0.3585299222
397	0.3585108844
398	0.358481541
399	0.3584074774
400	0.3583659461
401	0.358278414
402	0.3582658164
403	0.3581365718
404	0.3581001488
405	0.3579895434
406	0.3579462907
407	0.3579239953
408	0.3577860832
409	0.3577575699
410	0.357740472
411	0.3577119432
412	0.3576986822
413	0.3576587181
414	0.3575952394
415	0.3574794866
416	0.3573931015
417	0.3573330328
418	0.3573002032
419	0.3572833736
420	0.3572752385
421	0.3572473082
422	0.3572195414
423	0.3571309469
424	0.3570937998
425	0.3570308361
426	0.3569268052
427	0.3568600698
428	0.3567994147
429	0.3567276575
430	0.3567102817
431	0.3566768303
432	0.3566634034
433	0.3566458572
434	0.35657009
435	0.3564706533
436	0.3563959215
437	0.3563601165
438	0.3563281292
439	0.3562017926
440	0.3561519195
441	0.3561130664
442	0.3560050272
443	0.3559682841
444	0.355917823
445	0.3559132988
446	0.3558545643
447	0.355779222
448	0.3557556061
449	0.355677869
450	0.3556335278
451	0.3556218315
452	0.3555299358
453	0.3554062723
454	0.3553854768
455	0.3552750349
456	0.3552471016
457	0.3551938457
458	0.3551668563
459	0.3551221169
460	0.3550876096
461	0.3549890212
462	0.3549481277
463	0.3549189745
464	0.3548116394
465	0.3547528439
466	0.3546780773
467	0.3545988187
468	0.3545687515
469	0.3545273506
470	0.3544313093
471	0.3543923332
472	0.3543448125
473	0.3542867622
474	0.3542776466
475	0.3541983422
476	0.3541663316
477	0.3540677238
478	0.3540382097
479	0.3540212726
480	0.3539328682
481	0.3539180856
482	0.3537835683
483	0.353652928
484	0.3536105976
485	0.3535661574
486	0.3535113961
487	0.3534344564
488	0.3533514777
489	0.3532011835
490	0.3531854557
491	0.3531275382
492	0.353049626
493	0.3528897137
494	0.3528570585
495	0.3528316497
496	0.3528074242
497	0.3527331965
498	0.3526401849
499	0.3525920394
500	0.3525037091
501	0.3524353324
502	0.3523512935
503	0.3522596238
504	0.3521638317
505	0.3520500938
506	0.3520299284
507	0.3519780651
508	0.35196705
509	0.3519389855
510	0.3519137255
511	0.3518503535
512	0.3518176592
513	0.3517587282
514	0.3516936219
515	0.3515984845
516	0.3514384213
517	0.3514068276
518	0.351360554
519	0.351313187
520	0.3511597956
521	0.3510901928
522	0.3510772088
523	0.3510101484
524	0.3509745686
525	0.3507951719
526	0.3507224909
527	0.3506888061
528	0.3506774737
529	0.3506443452
530	0.350636402
531	0.3505746845
532	0.3505524692
533	0.3504917362
534	0.3504215553
535	0.3503870126
536	0.3503576179
537	0.3502250416
538	0.3501342927
539	0.350083259
540	0.3499399179
541	0.3498429673
542	0.3497937224
543	0.3497538426
544	0.3497194018
545	0.3496858858
546	0.3496318988
547	0.3495806183
548	0.3495623365
549	0.3495080167
550	0.349485223
551	0.3494307802
552	0.3493519835
553	0.3492684074
554	0.3492439853
555	0.3492022452
556	0.349098821
557	0.349040942
558	0.3489908348
559	0.3489521071
560	0.3488630718
561	0.3488237887
562	0.3487975875
563	0.3487415297
564	0.3485814084
565	0.3484331292
566	0.3483997496
567	0.348393365
568	0.348295543
569	0.3482445423
570	0.3481819351
571	0.3481446772
572	0.3480857105
573	0.3479647219
574	0.3478886973
575	0.347790284
576	0.3477272749
577	0.3476651042
578	0.3476175305
579	0.3475348001
580	0.3474978943
581	0.3474200444
582	0.3473929644
583	0.3473568958
584	0.347216121
585	0.3471912579
586	0.3470464595
587	0.3469503202
588	0.3468326013
589	0.3468132869
590	0.3467525421
591	0.3467097573
592	0.3466564952
593	0.3465912874
594	0.3465428051
595	0.3465064267
596	0.3464278828
597	0.3463215875
598	0.3462499614
599	0.3461973258
600	0.3461603162
601	0.3460993721
602	0.3460667293
603	0.345963104
604	0.3459037106
605	0.3458951845
606	0.3458051242
607	0.3457937776
608	0.3457800599
609	0.3457650624
610	0.345699433
611	0.3456532221
612	0.3455887563
613	0.3455207857
614	0.3454846399
615	0.3454314276
616	0.3453440109
617	0.345331979
618	0.3452704288
619	0.345250861
620	0.3452105671
621	0.3451688128
622	0.3451078783
623	0.3449723345
624	0.3449403919
625	0.3449145425
626	0.344820452
627	0.3447446255
628	0.3446645783
629	0.3446177348
630	0.3445469916
631	0.3444852724
632	0.344448393
633	0.3442830812
634	0.3442069251
635	0.3441774569
636	0.3441299792
637	0.3440837362
638	0.3439739433
639	0.343937267
640	0.3438135787
641	0.3437805617
642	0.3437444463
643	0.3436312425
644	0.3435873529
645	0.3435572972
646	0.3434472228
647	0.3433416554
648	0.3432966484
649	0.3432392608
650	0.3432076063
651	0.3431703833
652	0.3430994019
653	0.3430546188
654	0.3430316957
655	0.3429560124
656	0.3428807911
657	0.3428453476
658	0.3427558027
659	0.3427191298
660	0.3426467764
661	0.3425939386
662	0.3425525342
663	0.342514631
664	0.3423900708
665	0.3423589219
666	0.3423182706
667	0.3422550914
668	0.3421897055
669	0.3421369282
670	0.3420883254
671	0.3420635383
672	0.3419948885
673	0.3419016705
674	0.3418221203
675	0.3417845771
676	0.3417437167
677	0.3416823003
678	0.3416455137
679	0.3416080209
680	0.3415645605
681	0.3415033814
682	0.3414327406
683	0.3413216083
684	0.3413035416
685	0.341151863
686	0.3410359383
687	0.3409030995
688	0.3408938412
689	0.3408271456
690	0.3407630149
691	0.3406590234
692	0.3406109781
693	0.340558961
694	0.3404950671
695	0.3404601776
696	0.3404501035
697	0.3403805643
698	0.340356268
699	0.3403207953
700	0.3402799695
701	0.3402593993
702	0.3402035119
703	0.3401718928
704	0.3401488754
705	0.3400856541
706	0.3400064918
707	0.3399686628
708	0.3399193835
709	0.3398604754
710	0.3397869032
711	0.3397790404
712	0.3397084027
713	0.3396332057
714	0.3395878654
715	0.3394638079
716	0.3394450966
717	0.3394178987
718	0.3394124428
719	0.3393147076
720	0.3392476379
721	0.3391312828
722	0.3390823493
723	0.3390181074
724	0.3389985576
725	0.3388874302
726	0.3387989117
727	0.3387541089
728	0.3387379986
729	0.3386877821
730	0.3386336342
731	0.3385235763
732	0.3384871896
733	0.3384423717
734	0.3383862659
735	0.3383772102
736	0.3383041694
737	0.338249624
738	0.3382387191
739	0.3380786079
740	0.3380062996
741	0.3379074321
742	0.3378914268
743	0.337864451
744	0.3377956448
745	0.3377891771
746	0.3377427157
747	0.3377374441
748	0.3376507887
749	0.337633748
750	0.3375905151
751	0.3374180834
752	0.3373629711
753	0.3373412003
754	0.337284677
755	0.3372123891
756	0.337125482
757	0.337106183
758	0.3370755663
759	0.3370438235
760	0.3369421105
761	0.3368951253
762	0.3368313146
763	0.3367547213
764	0.3367412592
765	0.3366987895
766	0.3366595272
767	0.3365807166
768	0.336550358
769	0.3365432152
770	0.3364320268
771	0.3364088773
772	0.3363874071
773	0.3363522368
774	0.3362710971
775	0.3361917495
776	0.3361362592
777	0.3360788441
778	0.3360255785
779	0.3359518585
780	0.3359428425
781	0.3359248907
782	0.3358384178
783	0.3357847947
784	0.3357461197
785	0.3356344109
786	0.335588701
787	0.335571045
788	0.3355418409
789	0.3355294244
790	0.3354395518
791	0.3353559429
792	0.3352435762
793	0.3351882237
794	0.3351512194
795	0.3351064198
796	0.3350304022
797	0.3349599052
798	0.3348753664
799	0.3347533654
800	0.3347267737
801	0.3346540251
802	0.3346077046
803	0.3345735662
804	0.3344314253
805	0.3344127142
806	0.3343463856
807	0.3343079187
808	0.3342424618
809	0.3341469679
810	0.3341349145
811	0.3340897614
812	0.3339944749
813	0.3339267967
814	0.3338697208
815	0.3338225931
816	0.3338172793
817	0.3337961091
818	0.3336630531
819	0.3336423474
820	0.3336262781
821	0.3335866758
822	0.3335556779
823	0.3334986735
824	0.3334189852
825	0.333386889
826	0.3332663011
827	0.3331858158
828	0.3331760792
829	0.333135727
830	0.3330172309
831	0.333001533
832	0.3329633151
833	0.3328868778
834	0.3327438314
835	0.3327118445
836	0.3326014977
837	0.3325663557
838	0.3324520007
839	0.3323888336
840	0.3323774928
841	0.3323397927
842	0.3322992011
843	0.3321619467
844	0.3321158454
845	0.3320371096
846	0.3320278746
847	0.3320177764
848	0.3319269233
849	0.3319068114
850	0.3318020398
851	0.3317852346
852	0.3317241912
853	0.3316352232
854	0.3316104736
855	0.3315415333
856	0.3315256006
857	0.3314888219
858	0.3314319123
859	0.3314061711
860	0.33130859
861	0.3312650066
862	0.3312521672
863	0.331213415
864	0.3311891946
865	0.3311697716
866	0.3311305388
867	0.3310722826
868	0.3310328703
869	0.3310037736
870	0.3309601955
871	0.3307893992
872	0.3307220093
873	0.3307068801
874	0.3306494431
875	0.3305705288
876	0.3305320353
877	0.3305107148
878	0.3304946003
879	0.330344431
880	0.3301982529
881	0.3301005647
882	0.3300798238
883	0.330068409
884	0.330038793
885	0.3300104846
886	0.3299857252
887	0.3299584521
888	0.3298919402
889	0.3298737584
890	0.3298455349
891	0.3297851155
892	0.329725414
893	0.3296262034
894	0.3295363861
895	0.3294619118
896	0.329454015
897	0.3294229484
898	0.3294013738
899	0.3293683743
900	0.3291604621
901	0.3290778086
902	0.328976288
903	0.3289372428
904	0.3288362287
905	0.3288165326
906	0.3287467193
907	0.3287255776
908	0.3286848667
909	0.3286303065
910	0.3285198458
911	0.3284665529
912	0.3283962542
913	0.3283397628
914	0.3282824227
915	0.3282535485
916	0.3282174065
917	0.3282068451
918	0.328144197
919	0.3280642597
920	0.328022522
921	0.3279613503
922	0.3279259967
923	0.3278704729
924	0.3278435791
925	0.3277537851
926	0.3276675944
927	0.327654522
928	0.3276291029
929	0.3275865885
930	0.3275323933
931	0.3275104091
932	0.3274875465
933	0.3274274387
934	0.3273485996
935	0.3272525328
936	0.3272269571
937	0.3272186238
938	0.3271682329
939	0.3270959765
940	0.3270673603
941	0.3270542442
942	0.3270390878
943	0.3270133885
944	0.3269967941
945	0.3269802262
946	0.3268395065
947	0.3268203643
948	0.3267777317
949	0.3267121421
950	0.3266387212
951	0.3264997443
952	0.3264008399
953	0.3262821096
954	0.3262373953
955	0.3262291701
956	0.3260680663
957	0.3259984459
958	0.3259832257
959	0.3259122522
960	0.3258567262
961	0.3258313908
962	0.3257672555
963	0.3257410713
964	0.3257215351
965	0.3256740355
966	0.3256486195
967	0.3256138542
968	0.3255410007
969	0.3254391642
970	0.3254327073
971	0.325362304
972	0.3252911091
973	0.3252235014
974	0.3251212944
975	0.3250143486
976	0.3249605122
977	0.3249138947
978	0.3248557442
979	0.3247290337
980	0.324660881
981	0.3246529488
982	0.3246225175
983	0.3245817109
984	0.3245013441
985	0.3244660967
986	0.3243846978
987	0.3243237231
988	0.3242523334
989	0.3242124767
990	0.3241842395
991	0.3241725117
992	0.324143262
993	0.3241259917
994	0.3239952525
995	0.3239377193
996	0.3238037302
997	0.3237779811
998	0.323769232
999	0.3236902067
