iter	Passed	Remaining
401	6590	9804
402	6600	9777
403	6608	9749
404	6618	9723
405	6628	9697
406	6636	9669
407	6647	9645
408	6657	9619
409	6670	9599
410	6678	9571
411	6690	9548
412	6700	9523
413	6709	9497
414	6720	9474
415	6731	9450
416	6741	9425
417	6752	9402
418	6764	9379
419	6773	9354
420	6787	9334
421	6802	9316
422	6816	9297
423	6826	9274
424	6837	9250
425	6849	9228
426	6858	9203
427	6871	9183
428	6884	9163
429	6897	9142
430	6910	9122
431	6920	9099
432	6931	9076
433	6940	9051
434	6952	9030
435	6962	9006
436	6974	8985
437	6984	8962
438	6998	8943
439	7008	8919
440	7016	8894
441	7026	8870
442	7035	8846
443	7045	8822
444	7053	8797
445	7061	8771
446	7074	8752
447	7089	8735
448	7102	8716
449	7113	8694
450	7123	8671
451	7134	8649
452	7143	8625
453	7152	8602
454	7163	8579
455	7173	8558
456	7182	8534
457	7193	8512
458	7205	8492
459	7215	8470
460	7225	8447
461	7235	8425
462	7244	8402
463	7254	8379
464	7265	8359
465	7281	8343
466	7295	8326
467	7308	8307
468	7319	8286
469	7329	8264
470	7337	8241
471	7347	8218
472	7358	8198
473	7369	8178
474	7379	8156
475	7390	8135
476	7400	8114
477	7412	8094
478	7422	8073
479	7430	8049
480	7439	8026
481	7447	8003
482	7460	7985
483	7469	7962
484	7478	7940
485	7492	7924
486	7508	7909
487	7517	7887
488	7526	7865
489	7535	7842
490	7544	7820
491	7557	7802
492	7565	7780
493	7574	7758
494	7583	7736
495	7593	7715
496	7605	7697
497	7615	7676
498	7624	7655
499	7635	7635
500	7648	7618
501	7658	7597
502	7667	7576
503	7684	7563
504	7698	7546
505	7709	7526
506	7722	7509
507	7730	7486
508	7742	7468
509	7752	7448
510	7760	7426
511	7769	7405
512	7779	7384
513	7789	7364
514	7797	7343
515	7807	7323
516	7816	7302
517	7828	7284
518	7837	7263
519	7847	7243
520	7855	7221
521	7865	7202
522	7873	7180
523	7885	7163
524	7893	7142
525	7906	7124
526	7916	7105
527	7926	7085
528	7936	7066
529	7946	7046
530	7955	7026
531	7963	7005
532	7972	6985
533	7981	6965
534	7990	6945
535	7999	6925
536	8007	6904
537	8015	6883
538	8024	6863
539	8034	6844
540	8045	6826
541	8053	6805
542	8063	6786
543	8072	6767
544	8085	6750
545	8099	6735
546	8109	6716
547	8120	6697
548	8129	6678
549	8139	6659
550	8148	6640
551	8160	6623
552	8170	6604
553	8180	6585
554	8191	6568
555	8200	6548
556	8210	6529
557	8221	6512
558	8231	6494
559	8242	6476
560	8254	6459
561	8263	6440
562	8274	6422
563	8286	6405
564	8296	6387
565	8308	6370
566	8321	6354
567	8332	6337
568	8341	6318
569	8350	6299
570	8360	6280
571	8369	6262
572	8378	6243
573	8387	6224
574	8396	6205
575	8404	6186
576	8413	6167
577	8422	6149
578	8431	6130
579	8439	6111
580	8448	6092
581	8456	6073
582	8465	6055
583	8482	6042
584	8495	6027
585	8510	6012
586	8524	5997
587	8541	5985
588	8557	5971
589	8569	5954
590	8581	5938
591	8593	5922
592	8602	5904
593	8613	5887
594	8623	5869
595	8631	5850
596	8639	5832
597	8649	5814
598	8659	5797
599	8667	5778
600	8676	5760
601	8687	5743
602	8700	5728
603	8713	5712
604	8723	5695
605	8734	5679
606	8744	5661
607	8758	5646
608	8767	5629
609	8776	5611
610	8784	5592
611	8795	5576
612	8811	5562
613	8818	5544
614	8827	5526
615	8836	5508
616	8846	5491
617	8858	5475
618	8868	5458
619	8878	5441
620	8887	5423
621	8906	5412
622	8919	5397
623	8930	5380
624	8940	5364
625	8949	5346
626	8958	5329
627	8967	5311
628	8975	5294
629	8986	5277
630	8994	5260
631	9004	5243
632	9013	5225
633	9021	5208
634	9031	5191
635	9041	5174
636	9050	5157
637	9059	5140
638	9069	5123
639	9078	5106
640	9087	5089
641	9101	5075
642	9116	5061
643	9143	5054
644	9154	5038
645	9170	5025
646	9182	5009
647	9197	4996
648	9209	4980
649	9228	4969
650	9248	4957
651	9259	4941
652	9267	4924
653	9281	4910
654	9296	4896
655	9309	4881
656	9329	4870
657	9354	4862
658	9369	4848
659	9378	4831
660	9390	4815
661	9403	4801
662	9422	4789
663	9437	4775
664	9451	4761
665	9466	4747
666	9481	4733
667	9494	4718
668	9504	4702
669	9521	4689
670	9539	4677
671	9558	4665
672	9583	4656
673	9620	4653
674	9631	4637
675	9647	4623
676	9661	4609
677	9677	4596
678	9686	4579
679	9695	4562
680	9717	4552
681	9732	4538
682	9742	4521
683	9755	4506
684	9769	4492
685	9783	4477
686	9797	4463
687	9812	4449
688	9832	4438
689	9847	4424
690	9864	4411
691	9877	4396
692	9896	4384
693	9932	4379
694	9944	4364
695	9961	4350
696	9975	4336
697	9988	4321
698	10000	4306
699	10011	4290
700	10032	4279
701	10047	4265
702	10080	4258
703	10115	4253
704	10136	4241
705	10154	4228
706	10172	4215
707	10191	4203
708	10207	4189
709	10222	4175
710	10237	4161
711	10259	4149
712	10275	4136
713	10292	4122
714	10316	4112
715	10332	4098
716	10353	4086
717	10367	4071
718	10381	4057
719	10394	4042
720	10408	4027
721	10433	4017
722	10450	4003
723	10465	3989
724	10480	3975
725	10498	3962
726	10513	3948
727	10528	3933
728	10547	3920
729	10564	3907
730	10578	3892
731	10604	3882
732	10619	3868
733	10635	3854
734	10652	3840
735	10665	3825
736	10678	3810
737	10698	3798
738	10717	3785
739	10744	3775
740	10753	3758
741	10763	3742
742	10773	3726
743	10781	3709
744	10791	3693
745	10802	3678
746	10813	3662
747	10827	3647
748	10836	3631
749	10848	3616
750	10860	3600
751	10871	3585
752	10881	3569
753	10893	3554
754	10905	3538
755	10918	3523
756	10934	3510
757	10943	3493
758	10953	3477
759	10967	3463
760	10980	3448
761	10989	3432
762	11000	3417
763	11009	3400
764	11020	3385
765	11032	3370
766	11041	3354
767	11051	3338
768	11061	3322
769	11070	3306
770	11086	3292
771	11100	3278
772	11110	3262
773	11124	3248
774	11138	3233
775	11148	3218
776	11158	3202
777	11167	3186
778	11182	3172
779	11196	3157
780	11206	3142
781	11224	3128
782	11233	3113
783	11241	3097
784	11252	3081
785	11262	3066
786	11271	3050
787	11279	3034
788	11289	3019
789	11299	3003
790	11307	2987
791	11317	2972
792	11328	2957
793	11344	2943
794	11355	2928
795	11365	2912
796	11375	2897
797	11383	2881
798	11392	2866
799	11401	2850
800	11411	2835
801	11421	2819
802	11431	2804
803	11440	2788
804	11448	2773
805	11458	2757
806	11467	2742
807	11476	2727
808	11485	2711
809	11493	2696
810	11504	2681
811	11513	2665
812	11522	2650
813	11533	2635
814	11543	2620
815	11555	2605
816	11565	2590
817	11577	2576
818	11586	2560
819	11595	2545
820	11612	2531
821	11622	2516
822	11632	2501
823	11646	2487
824	11657	2472
825	11666	2457
826	11677	2442
827	11685	2427
828	11695	2412
829	11712	2398
830	11726	2384
831	11736	2369
832	11747	2355
833	11761	2340
834	11774	2326
835	11784	2311
836	11804	2298
837	11814	2283
838	11828	2269
839	11840	2255
840	11850	2240
841	11861	2225
842	11870	2210
843	11879	2195
844	11888	2180
845	11897	2165
846	11907	2150
847	11915	2135
848	11930	2121
849	11943	2107
850	11956	2093
851	11980	2081
852	12000	2068
853	12013	2053
854	12036	2041
855	12046	2026
856	12056	2011
857	12065	1996
858	12078	1982
859	12089	1967
860	12097	1953
861	12106	1938
862	12114	1923
863	12128	1909
864	12140	1894
865	12152	1880
866	12164	1866
867	12177	1851
868	12186	1837
869	12196	1822
870	12205	1807
871	12215	1793
872	12226	1778
873	12235	1763
874	12245	1749
875	12258	1735
876	12265	1720
877	12276	1705
878	12286	1691
879	12295	1676
880	12306	1662
881	12317	1647
882	12327	1633
883	12339	1619
884	12350	1604
885	12361	1590
886	12374	1576
887	12386	1562
888	12396	1547
889	12407	1533
890	12417	1519
891	12426	1504
892	12436	1490
893	12445	1475
894	12454	1461
895	12462	1446
896	12472	1432
897	12484	1418
898	12492	1403
899	12503	1389
900	12515	1375
901	12523	1360
902	12534	1346
903	12549	1332
904	12559	1318
905	12571	1304
906	12582	1290
907	12593	1276
908	12604	1261
909	12615	1247
910	12626	1233
911	12645	1220
912	12655	1205
913	12667	1191
914	12677	1177
915	12687	1163
916	12707	1150
917	12723	1136
918	12739	1122
919	12750	1108
920	12761	1094
921	12781	1081
922	12795	1067
923	12809	1053
924	12825	1039
925	12843	1026
926	12857	1012
927	12870	998
928	12885	984
929	12901	971
930	12914	957
931	12930	943
932	12947	929
933	12969	916
934	12988	902
935	13005	889
936	13018	875
937	13033	861
938	13046	847
939	13060	833
940	13077	819
941	13092	806
942	13105	792
943	13118	778
944	13130	764
945	13160	751
946	13176	737
947	13193	723
948	13206	709
949	13220	695
950	13230	681
951	13244	667
952	13261	654
953	13274	640
954	13288	626
955	13300	612
956	13312	598
957	13324	584
958	13347	570
959	13363	556
960	13382	543
961	13402	529
962	13419	515
963	13432	501
964	13445	487
965	13458	473
966	13473	459
967	13486	445
968	13498	431
969	13513	417
970	13526	403
971	13540	390
972	13554	376
973	13566	362
974	13585	348
975	13604	334
976	13628	320
977	13653	307
978	13675	293
979	13688	279
980	13702	265
981	13722	251
982	13736	237
983	13751	223
984	13772	209
985	13788	195
986	13800	181
987	13810	167
988	13822	153
989	13837	139
990	13851	125
991	13864	111
992	13878	97
993	13891	83
994	13906	69
995	13922	55
996	13936	41
997	13950	27
998	13971	13
999	13990	0
